date,USD/CNY,EUR/CNY,GBP/CNY,CAD/CNY,JPY/CNY,AUD/CNY,MXN/CNY,USD/HKD,EUR/HKD,GBP/HKD,100JPY/CNY,HKD/CNY,NZD/CNY,SGD/CNY,CHF/CNY,CNY/MOP,CNY/MYR,CNY/RUB,CNY/ZAR,CNY/KRW,CNY/AED,CNY/SAR,CNY/HUF,CNY/PLN,CNY/DKK,CNY/SEK,CNY/NOK,CNY/TRY,CNY/MXN,CNY/THB
2016-05-16,6.522,7.3764,9.3521,5.0313,0.05999,4.7411,0.356267,7.76394,8.78547,11.137,,,,,,,,,,,,,,,,,,,,
2016-05-17,6.5213,7.3687,9.4098,5.0478,0.05971,4.745,0.356488,7.76354,8.7813,11.21348,,,,,,,,,,,,,,,,,,,,
2016-05-18,6.5186,7.3675,9.4105,5.0431,0.05976,4.7609,0.353735,7.7616,8.7818,11.21878,,,,,,,,,,,,,,,,,,,,
2016-05-19,6.5288,7.3249,9.5265,5.0119,0.05926,4.7166,0.35453,7.76548,8.71284,11.33268,,,,,,,,,,,,,,,,,,,,
2016-05-20,6.537,7.3246,9.5435,4.9947,0.05949,4.7268,0.356579,7.76707,8.70267,11.33858,,,,,,,,,,,,,,,,,,,,
2016-05-23,6.5367,7.3374,9.4731,4.9816,0.05941,4.7233,0.352923,7.76818,8.71685,11.25558,,,,,,,,,,,,,,,,,,,,
2016-05-24,6.5457,7.3396,9.4784,4.979,0.05984,4.7265,0.354464,7.76725,8.70918,11.24618,,,,,,,,,,,,,,,,,,,,
2016-05-25,6.5472,7.292,9.567,4.9878,0.05944,4.7082,0.35405,7.76825,8.6468,11.34878,,,,,,,,,,,,,,,,,,,,
2016-05-26,6.5441,7.2997,9.6144,5.019,0.05941,4.7011,0.354887,7.76448,8.66208,11.41038,,,,,,,,,,,,,,,,,,,,
2016-05-27,6.547,7.3276,9.6012,5.0457,0.05966,4.7292,0.354888,7.76556,8.69049,11.38678,,,,,,,,,,,,,,,,,,,,
2016-05-30,6.5533,7.2877,9.5943,5.0283,0.05923,4.7109,0.354649,7.76576,8.62608,11.353,,,,,,,,,,,,,,,,,,,,
2016-05-31,6.5733,7.327,9.6174,5.0396,0.0593,4.7283,0.355979,7.76838,8.66037,11.36688,,,,,,,,,,,,,,,,,,,,
2016-06-01,6.5729,7.3178,9.5154,5.0261,0.0594,4.7551,0.35525,7.76885,8.64973,11.24998,,,,,,,,,,,,,,,,,,,,
2016-06-02,6.5651,7.3435,9.4645,5.0207,0.05993,4.7592,0.351632,7.7701,8.69239,11.20238,,,,,,,,,,,,,,,,,,,,
2016-06-03,6.5745,7.3314,9.4724,5.0212,0.06041,4.7525,0.353588,7.77065,8.66471,11.19378,,,,,,,,,,,,,,,,,,,,
2016-06-06,6.5548,7.4542,9.4447,5.0674,0.06156,4.8237,0.350982,7.76798,8.81542,11.17178,,,,,,,,,,,,,,,,,,,,
2016-06-07,6.5538,7.4445,9.4728,5.1128,0.06097,4.8305,0.356456,7.7677,8.825,11.22948,,,,,,,,,,,,,,,,,,,,
2016-06-08,6.5615,7.4533,9.5433,5.1448,0.06119,4.8856,0.362163,7.766,8.81982,11.29258,,,,,,,,,,,,,,,,,,,,
2016-06-09,6.5525,7.4732,9.5145,5.1667,0.06135,4.9126,0.35903,7.76035,8.84908,11.26288,,,,,,,,,,,,,,,,,,,,
2016-06-10,6.552,7.4139,9.4758,5.1491,0.06118,4.8598,0.351708,7.76198,8.78048,11.22458,,,,,,,,,,,,,,,,,,,,
2016-06-13,6.552,7.3745,9.3077,5.1334,0.06162,4.8362,0.347845,7.76276,8.72375,11.01328,,,,,,,,,,,,,,,,,,,,
2016-06-14,6.5757,7.4272,9.3453,5.1282,0.06193,4.8558,0.34754,7.7631,8.7595,11.02618,,,,,,,,,,,,,,,,,,,,
2016-06-15,6.5865,7.3843,9.3029,5.1216,0.06208,4.8434,0.348551,7.7611,8.70029,10.95948,,,,,,,,,,,,,,,,,,,,
2016-06-16,6.5718,7.4028,9.3305,5.0913,0.06211,4.8738,0.347577,7.76002,8.7388,11.01448,,,,,,,,,,,,,,,,,,,,
2016-06-17,6.582,7.4089,9.3882,5.0879,0.06285,4.8571,0.349383,7.7591,8.73413,11.08858,,,,,,,,,,,,,,,,,,,,
2016-06-20,6.5784,7.3597,9.4582,5.0502,0.062,4.8205,0.353095,7.75969,8.80411,11.31538,,,,,,,,,,,,,,,,,,,,
2016-06-21,6.5671,7.4352,9.6342,5.131,0.06324,4.8982,0.352455,7.76085,8.78639,11.38688,,,,,,,,,,,,,,,,,,,,
2016-06-22,6.5803,7.4041,9.6527,5.1405,0.06285,4.9055,0.357535,7.75905,8.72833,11.37858,,,,,,,,,,,,,,,,,,,,
2016-06-23,6.5675,7.442,9.7148,5.1262,0.06278,4.935,0.356273,7.75722,8.78512,11.46908,,,,,,,,,,,,,,,,,,,,
2016-06-24,6.5673,7.4407,9.5535,5.1175,0.06268,4.9446,0.347524,7.7567,8.78362,11.28418,,,,,,,,,,,,,,,,,,,,
2016-06-27,6.6118,7.2194,8.7944,5.0239,0.06405,4.8601,0.345978,7.76002,8.56628,10.43248,,,,,,,,,,,,,,,,,,,,
2016-06-28,6.6416,7.3167,8.7893,5.0837,0.06522,4.8866,0.353123,7.75955,8.5464,10.26798,,,,,,,,,,,,,,,,,,,,
2016-06-29,6.6381,7.3521,8.8612,5.0973,0.06467,4.9143,0.358621,7.7583,8.5889,10.35396,,,,,,,,,,,,,,,,,,,,
2016-06-30,6.6268,7.3731,8.9241,5.1248,0.06448,4.9507,0.361667,7.75875,8.63049,10.44468,,,,,,,,,,,,,,,,,,,,
2016-07-01,6.6381,7.3393,8.8065,5.0998,0.06412,4.9217,0.361794,7.7596,8.61693,10.336,,,,,,,,,,,,,,,,,,,,
2016-07-04,6.6457,7.3466,8.7684,5.112,0.06441,4.9273,0.36057,7.75778,8.63218,10.30358,,,,,,,,,,,,,,,,,,,,
2016-07-05,6.6553,7.4178,8.8391,5.1724,0.06492,5.0103,0.353563,7.75795,8.64549,10.3,,,,,,,,,,,,,,,,,,,,
2016-07-06,6.6697,7.3784,8.6428,5.1277,0.06592,4.9631,0.355765,7.75833,8.58249,10.04828,,,,,,,,,,,,,,,,,,,,
2016-07-07,6.683,7.4139,8.6351,5.154,0.06608,5.0209,0.355276,7.7584,8.6079,10.02478,,,,,,,,,,,,,,,,,,,,
2016-07-08,6.6711,7.3819,8.6177,5.1324,0.06619,4.9977,0.360497,7.7579,8.5807,10.01778,,,,,,,,,,,,,,,,,,,,
2016-07-11,6.6781,7.382,8.6531,5.123,0.06637,5.0525,0.361678,7.75768,8.56761,10.04038,,,,,,,,,,,,,,,,,,,,
